DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
19/10/2017,109.08,HNX,109.43,109.73,108.79,48384817.00
18/10/2017,109.42,HNX,109.84,110.89,109.20,48432622.00
17/10/2017,109.84,HNX,109.26,109.85,109.15,50152068.00
16/10/2017,109.30,HNX,109.10,109.60,108.82,44981535.00
13/10/2017,109.10,HNX,108.37,109.11,108.09,40202640.00
12/10/2017,108.37,HNX,108.66,108.90,107.94,34356645.00
11/10/2017,108.65,HNX,108.57,108.97,108.13,46698666.00
10/10/2017,108.56,HNX,107.95,108.98,107.75,38491804.00
09/10/2017,108.74,HNX,107.99,109.12,107.96,50908842.00
06/10/2017,107.97,HNX,106.96,107.99,106.96,48723769.00
05/10/2017,106.96,HNX,107.43,107.89,106.87,46507470.00
04/10/2017,107.43,HNX,106.52,107.44,106.36,35291052.00
03/10/2017,106.53,HNX,107.52,107.62,105.87,51010972.00
02/10/2017,107.51,HNX,107.69,108.18,107.23,50778829.00
29/09/2017,107.65,HNX,107.42,107.69,106.20,59382734.00
28/09/2017,107.42,HNX,110.12,110.12,106.84,58076516.00
27/09/2017,107.51,HNX,107.81,107.94,107.27,50161982.00
26/09/2017,107.90,HNX,107.24,108.05,106.84,66493376.00
25/09/2017,107.33,HNX,106.51,107.52,106.45,62363250.00
22/09/2017,106.51,HNX,105.79,106.63,105.68,70852583.00
21/09/2017,105.75,HNX,105.26,105.93,105.17,72745759.00
20/09/2017,105.17,HNX,104.71,105.32,104.69,55862737.00
19/09/2017,104.72,HNX,105.20,105.90,104.64,53209095.00
18/09/2017,105.13,HNX,104.46,105.43,104.37,70858808.00
15/09/2017,104.48,HNX,103.97,104.68,103.85,52304925.00
14/09/2017,104.38,HNX,104.42,104.90,104.14,66780091.00
13/09/2017,104.43,HNX,103.74,104.68,103.72,33606707.00
12/09/2017,103.72,HNX,102.89,103.81,102.82,34817323.00
11/09/2017,102.88,HNX,103.81,104.08,102.64,36948185.00
08/09/2017,103.91,HNX,104.61,104.79,103.64,40544277.00
07/09/2017,104.61,HNX,104.49,105.13,104.31,34370239.00
06/09/2017,104.50,HNX,104.64,104.80,103.78,37876542.00
05/09/2017,104.38,HNX,103.83,104.51,103.74,35505259.00
01/09/2017,103.80,HNX,104.14,104.35,103.28,28883996.00
31/08/2017,103.88,HNX,103.60,104.54,103.40,66604746.00
