DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
19/10/2017,828.93,VNIndex,828.89,831.61,825.50,143640120.0
18/10/2017,827.72,VNIndex,829.43,831.15,826.72,183072810.0
17/10/2017,828.29,VNIndex,819.51,828.29,819.43,162264680.0
16/10/2017,819.43,VNIndex,821.54,823.85,819.43,149580780.0
13/10/2017,820.95,VNIndex,814.60,820.95,814.20,141204400.0
12/10/2017,815.87,VNIndex,814.43,818.44,813.72,136859420.0
11/10/2017,813.95,VNIndex,811.20,815.11,811.20,162513710.0
10/10/2017,810.65,VNIndex,808.43,810.65,806.30,138184800.0
09/10/2017,808.96,VNIndex,809.61,810.75,806.78,129146140.0
06/10/2017,807.80,VNIndex,805.70,808.13,803.81,119935950.0
05/10/2017,805.23,VNIndex,806.56,810.54,805.22,139251920.0
04/10/2017,805.66,VNIndex,797.39,805.66,797.00,109372380.0
03/10/2017,798.00,VNIndex,803.98,804.39,795.05,148218410.0
02/10/2017,802.23,VNIndex,805.29,808.09,801.70,101196300.0
29/09/2017,804.42,VNIndex,805.07,808.77,804.42,124224690.0
28/09/2017,804.82,VNIndex,803.10,810.35,803.10,161949260.0
27/09/2017,803.77,VNIndex,803.32,805.04,801.74,142029330.0
26/09/2017,805.35,VNIndex,806.40,806.84,801.66,155559280.0
25/09/2017,805.58,VNIndex,806.90,807.64,802.23,126085700.0
22/09/2017,807.13,VNIndex,805.15,808.16,803.94,150381610.0
21/09/2017,803.93,VNIndex,805.29,806.52,802.60,130767410.0
20/09/2017,805.86,VNIndex,806.88,807.51,803.33,137443940.0
19/09/2017,805.93,VNIndex,807.41,810.13,805.87,160487610.0
18/09/2017,807.87,VNIndex,808.51,809.39,805.37,167579320.0
15/09/2017,805.82,VNIndex,803.35,805.82,802.08,142760690.0
14/09/2017,806.32,VNIndex,803.34,807.29,803.23,139352800.0
13/09/2017,802.78,VNIndex,802.85,804.38,800.39,139692830.0
12/09/2017,799.94,VNIndex,795.53,801.01,794.88,133449030.0
11/09/2017,797.47,VNIndex,801.20,805.44,797.47,138929970.0
