date|close_price|high_price|low_price
02/11/2012|375.26|380.33|374.98
05/11/2012|377.27|378.45|372.39
06/11/2012|376.95|379.05|375.12
07/11/2012|380.90|381.22|375.75
08/11/2012|385.60|385.60|380.13
09/11/2012|386.71|386.79|383.72
12/11/2012|388.62|388.94|385.72
13/11/2012|385.22|388.43|385.15
14/11/2012|387.71|389.40|384.61
15/11/2012|386.91|390.65|386.60
16/11/2012|385.71|386.25|383.16
19/11/2012|383.32|386.22|382.42
20/11/2012|385.10|385.37|381.84
21/11/2012|383.87|385.80|382.72
22/11/2012|383.22|384.10|382.57
23/11/2012|381.71|384.25|381.14
26/11/2012|377.90|382.62|377.82
27/11/2012|376.89|378.62|376.08
28/11/2012|375.79|377.32|374.15
29/11/2012|378.20|378.62|376.93
30/11/2012|377.82|380.18|377.52
03/12/2012|379.27|379.27|375.78
04/12/2012|382.10|382.10|377.89
05/12/2012|385.69|387.05|382.10
06/12/2012|385.69|386.62|384.53
07/12/2012|383.80|386.60|383.80
10/12/2012|386.69|387.67|383.53
11/12/2012|389.37|389.37|385.81
12/12/2012|391.08|393.13|386.46
13/12/2012|391.19|393.81|390.57
14/12/2012|392.21|394.61|392.05
17/12/2012|393.63|395.30|391.31
18/12/2012|393.39|396.45|392.34
19/12/2012|398.59|398.59|395.34
20/12/2012|399.68|400.71|397.86
21/12/2012|396.78|400.27|394.27
24/12/2012|399.71|400.22|396.57
25/12/2012|401.34|401.72|398.09
26/12/2012|406.10|406.10|398.31
27/12/2012|409.97|410.68|406.58
28/12/2012|413.73|413.73|408.32
02/01/2013|418.35|419.05|414.41
03/01/2013|419.27|420.68|413.68
04/01/2013|426.06|426.48|417.50
07/01/2013|434.19|434.64|426.86
08/01/2013|447.16|447.16|437.15
09/01/2013|448.77|457.75|442.26
10/01/2013|460.12|460.12|444.08
11/01/2013|462.69|469.16|461.74
14/01/2013|458.97|462.08|455.51
15/01/2013|461.42|461.42|455.93
16/01/2013|465.25|470.34|462.17
17/01/2013|456.76|466.55|456.76
18/01/2013|454.16|459.82|450.28
21/01/2013|447.79|456.34|447.79
22/01/2013|442.85|450.80|441.24
23/01/2013|443.37|447.79|440.48
24/01/2013|452.40|452.40|444.19
25/01/2013|468.09|468.09|455.25
28/01/2013|479.60|485.67|474.27
29/01/2013|484.01|484.34|476.33
30/01/2013|487.60|490.89|482.76
31/01/2013|479.79|485.19|479.79
01/02/2013|483.42|483.42|473.23
04/02/2013|482.38|488.96|482.38
05/02/2013|477.36|482.56|477.36
06/02/2013|488.36|488.62|479.62
07/02/2013|490.62|493.72|488.03
08/02/2013|494.03|495.72|489.64
18/02/2013|493.95|497.87|493.95
19/02/2013|490.78|495.39|490.33
20/02/2013|494.83|495.82|487.68
21/02/2013|476.73|497.70|476.73
22/02/2013|477.69|487.11|470.23
25/02/2013|483.69|483.97|478.30
26/02/2013|465.05|482.50|463.64
27/02/2013|465.72|467.50|459.64
28/02/2013|474.56|476.41|465.72
01/03/2013|477.15|480.39|475.46
04/03/2013|468.74|479.06|468.74
05/03/2013|462.12|467.84|461.61
06/03/2013|471.09|471.09|464.19
07/03/2013|466.63|472.54|466.63
08/03/2013|470.68|471.75|468.10
11/03/2013|476.50|476.79|469.78
12/03/2013|475.34|478.67|470.51
13/03/2013|473.18|478.05|471.85
14/03/2013|474.60|474.60|470.81
15/03/2013|481.35|481.35|474.45
18/03/2013|479.13|482.59|478.54
19/03/2013|480.48|482.21|477.55
20/03/2013|487.04|488.94|480.53
21/03/2013|491.79|494.57|488.43
22/03/2013|489.99|500.59|486.15
25/03/2013|493.57|495.64|488.55
26/03/2013|489.46|496.32|489.14
27/03/2013|491.26|492.46|485.34
28/03/2013|490.67|495.12|487.67
29/03/2013|491.04|492.96|483.50
01/04/2013|505.81|505.81|489.90
02/04/2013|509.43|514.10|507.22
03/04/2013|505.93|511.59|502.38
04/04/2013|497.35|506.63|497.35
05/04/2013|502.58|503.36|497.83
08/04/2013|506.66|507.75|501.91
09/04/2013|510.49|512.85|504.16
10/04/2013|496.50|518.46|496.50
11/04/2013|504.07|504.51|497.16
12/04/2013|494.27|505.90|490.82
15/04/2013|480.02|491.77|478.80
16/04/2013|478.07|479.97|466.56
17/04/2013|483.99|483.99|476.53
18/04/2013|473.21|483.99|471.10
22/04/2013|468.43|472.95|466.78
23/04/2013|473.69|475.48|469.13
24/04/2013|472.89|475.75|472.89
25/04/2013|476.59|477.80|474.29
26/04/2013|474.51|479.12|474.43
02/05/2013|473.02|476.42|472.16
