look_back|batch_size|percent
7|1|50.476190476190474
7|2|50.95238095238095
7|3|50.0
7|4|50.0
7|5|52.857142857142854
7|7|48.095238095238095
7|10|50.0
7|12|52.857142857142854
7|15|50.0
7|20|52.857142857142854
7|25|50.95238095238095

14|1|51.724137931034484
14|2|52.70935960591133
14|3|53.69458128078818
14|4|51.724137931034484
14|5|47.783251231527096
14|7|54.1871921182266
14|10|49.26108374384236
14|12|48.76847290640394
14|15|51.724137931034484
14|20|52.70935960591133
14|25|53.20197044334975

14|30|53.69458128078818
14|35|52.70935960591133
14|40|52.216748768472904
14|45|53.69458128078818
14|50|52.216748768472904
14|55|52.216748768472904
14|60|53.20197044334975
14|65|53.69458128078818
14|70|53.69458128078818
14|75|53.69458128078818
14|80|54.1871921182266
14|85|53.69458128078818
14|90|55.172413793103445
14|95|54.679802955665025

14|100|54.679802955665025
14|105|56.1576354679803
14|110|52.70935960591133
14|115|55.172413793103445
14|120|56.1576354679803
14|125|57.635467980295566
14|130|57.142857142857146
14|135|53.20197044334975
14|140|57.635467980295566
14|145|55.172413793103445
14|150|59.11330049261084
14|155|59.60591133004926
14|160|56.1576354679803
14|165|57.142857142857146
14|170|57.635467980295566
14|175|57.142857142857146
14|180|57.142857142857146
14|185|57.142857142857146
14|190|53.69458128078818
14|195|56.1576354679803
14|200|58.12807881773399
14|205|57.635467980295566
14|210|58.12807881773399
14|215|59.11330049261084
14|220|56.1576354679803
14|225|59.60591133004926
14|230|59.11330049261084
14|235|57.142857142857146
14|240|57.142857142857146
14|245|55.66502463054187
14|250|56.65024630541872
14|255|58.62068965517241
14|260|58.62068965517241
14|265|58.12807881773399
14|270|59.60591133004926
14|275|57.635467980295566
14|280|58.62068965517241
14|285|58.62068965517241
14|290|59.60591133004926
14|295|58.12807881773399
