look_back|batch_size|percent
14|100|54.679802955665025
14|105|56.1576354679803
14|110|52.70935960591133
14|115|55.172413793103445
14|120|56.1576354679803
14|125|57.635467980295566
14|130|57.142857142857146
14|135|53.20197044334975
14|140|57.635467980295566
14|145|55.172413793103445
14|150|59.11330049261084
14|155|59.60591133004926
14|160|56.1576354679803
14|165|57.142857142857146
14|170|57.635467980295566
14|175|57.142857142857146
14|180|57.142857142857146
14|185|57.142857142857146
14|190|53.69458128078818
14|195|56.1576354679803
14|200|58.12807881773399
14|205|57.635467980295566
14|210|58.12807881773399
14|215|59.11330049261084
14|220|56.1576354679803
14|225|59.60591133004926
14|230|59.11330049261084
14|235|57.142857142857146
14|240|57.142857142857146
14|245|55.66502463054187
14|250|56.65024630541872
14|255|58.62068965517241
14|260|58.62068965517241
14|265|58.12807881773399
14|270|59.60591133004926
14|275|57.635467980295566
14|280|58.62068965517241
14|285|58.62068965517241
14|290|59.60591133004926
14|295|58.12807881773399
