today,tomorrow_reality,tomorrow_predict
539.44,533.37,534.750696116
532.01,532.68,535.22980841
533.37,537.57,531.858784886
532.68,545.63,542.848844281
537.57,544.45,553.980600884
545.63,549.66,542.74139863
544.45,552.05,555.234059016
549.66,553.47,554.297148578
552.05,569.73,554.835400656
553.47,574.32,587.054110808
569.73,580.6,578.175473862
574.32,577.01,586.947707596
580.6,577.74,572.861474822
577.01,574.81,578.724448167
577.74,571.51,571.730484629
574.81,572.22,568.264766714
571.51,569.12,573.13330934
572.22,574.54,565.879927474
569.12,582.38,580.368820828
574.54,580.64,590.292446771
582.38,579.3,578.33122538
580.64,583.76,578.02363149
579.3,583.28,588.490126024
583.76,576.07,582.523802325
583.28,570.37,568.729880545
576.07,557.47,564.940355095
570.37,561.45,544.696157427
557.47,567.17,566.338042073
561.45,574.13,572.862982636
567.17,573.55,581.000724857
574.13,574.52,572.586717753
573.55,581.76,575.546015202
574.52,584.67,589.184241309
581.76,587.24,587.205748415
584.67,596.95,589.69849868
587.24,592.66,606.77528345
596.95,596.72,587.686778051
592.66,592.57,601.127666781
596.72,590.73,588.125160774
592.57,596.72,589.135730678
590.73,600.39,602.92775373
596.72,596.91,603.746905819
600.39,593.97,593.21812557
596.91,588.44,591.226825571
593.97,589.66,583.09690164
588.44,586.54,591.177104966
589.66,588.53,583.357045952
586.54,586.1,590.708361215
588.53,580.8,583.54144592
586.1,581.76,575.631904708
580.8,578.68,583.056786363
581.76,573.74,575.518651185
578.68,575.44,568.973103842
573.74,570.89,577.451481539
575.44,567.43,566.21622566
570.89,560.93,564.230975529
567.43,556.16,554.643629156
560.93,551.42,551.74896291
556.16,545.19,546.944009047
551.42,551.13,539.224768752
545.19,538.91,557.49875719
551.13,546.85,526.502027243
538.91,547.85,555.330856899
546.85,542.97,548.413847678
547.85,548.11,538.172687448
542.97,547.72,553.381310295
548.11,550.52,547.093543162
547.72,554.03,553.264854996
550.52,559.54,557.319513571
554.03,558.67,564.768650542
559.54,564.5,557.497119072
558.67,568.28,570.271610219
564.5,568.32,571.655894413
568.28,565.04,568.171207837
568.32,562.24,561.884408683
565.04,562.51,559.711035588
562.24,561.25,562.932078237
562.51,565.77,560.006660047
561.25,562.4,570.260143393
565.77,545.08,558.874590185
562.4,552.65,528.912499307
545.08,549.3,560.769073685
552.65,552.98,545.696042334
549.3,554.51,556.657732503
552.98,551.67,555.770133141
554.51,544.41,548.938064063
551.67,542.82,537.78839985
544.41,543.69,541.674127504
542.82,537.44,544.588488397
543.69,528.95,531.55632873
537.44,536.82,521.346385817
528.95,550.1,544.566075964
536.82,552.56,562.240029215
550.1,561.82,554.221906839
552.56,563.0,570.33713494
561.82,567.2,563.62327097
563.0,566.48,571.047519715
567.2,572.97,565.574734917
566.48,569.56,579.056837207
572.97,574.98,566.055876243
569.56,570.31,580.183117811
574.98,567.9,565.764942758
570.31,568.99,565.95855714
567.9,578.07,570.123360538
568.99,579.83,586.394749686
578.07,574.47,580.947746631
579.83,574.1,569.528574773
574.47,581.05,574.037159578
574.1,582.73,587.392773095
581.05,586.48,583.916519103
582.73,580.35,589.783885583
586.48,578.87,574.70822952
580.35,580.35,577.833516724
578.87,584.7,581.751615824
580.35,594.08,588.562985047
584.7,593.07,602.393392183
594.08,590.02,591.692013861
593.07,587.99,587.34750147
590.02,581.75,586.338662759
587.99,591.75,576.284322443
581.75,593.05,601.005403608
