date|close_price|predict
27/01/2016|542.69|539.578679285
28/01/2016|539.47|546.224417586
29/01/2016|545.25|535.065110583
01/02/2016|540.56|551.939765472
02/02/2016|536.45|536.177978823
03/02/2016|539.07|532.761368506
04/02/2016|542.15|540.257698965
05/02/2016|544.75|546.115476159
15/02/2016|543.79|547.658943763
16/02/2016|548.05|542.729241465
17/02/2016|547.05|551.676817143
18/02/2016|552.49|546.551503298
19/02/2016|554.03|557.654665194
22/02/2016|560.71|555.576300285
23/02/2016|561.28|567.454389157
24/02/2016|568.04|561.946865313
25/02/2016|562.82|574.474121101
26/02/2016|566.11|558.321161153
29/02/2016|559.37|568.749062974
01/03/2016|561.56|553.173439062
02/03/2016|570.18|563.629226701
03/03/2016|570.39|577.730786331
04/03/2016|573.65|572.363276683
07/03/2016|576.2|575.964742589
08/03/2016|574.71|578.105427322
09/03/2016|571.71|574.094027436
10/03/2016|575.91|568.555679803
11/03/2016|577.26|579.279196198
14/03/2016|577.98|579.23801482
15/03/2016|574.04|578.960799906
16/03/2016|577.07|570.040861067
17/03/2016|579.26|579.423206532
18/03/2016|575.82|581.577784379
21/03/2016|572.27|573.482356987
22/03/2016|570.91|568.276062227
23/03/2016|574.71|569.286960495
24/03/2016|570.66|578.427894446
25/03/2016|572.08|567.752468638
28/03/2016|575.72|572.806374869
29/03/2016|568.28|578.675194349
30/03/2016|569.91|562.936836767
31/03/2016|561.22|570.099608021
01/04/2016|558.43|553.847616071
04/04/2016|555.82|556.014369065
05/04/2016|560.32|552.77924065
06/04/2016|567.79|564.769632187
07/04/2016|571.6|574.556732838
08/04/2016|572.34|575.813449575
11/04/2016|579.27|572.775986797
12/04/2016|579.84|584.927468731
13/04/2016|578.02|581.104945469
14/04/2016|579.49|576.647770855
15/04/2016|579.86|579.899954436
19/04/2016|568.28|580.657154
20/04/2016|568.03|559.043702629
21/04/2016|575.73|566.339180501
22/04/2016|592.48|582.150389783
25/04/2016|591.58|608.751294484
26/04/2016|598.48|591.902359283
27/04/2016|593.96|603.350657978
28/04/2016|591.67|589.839207084
29/04/2016|598.37|590.315307639
04/05/2016|599.07|602.908468571
05/05/2016|601.51|601.111700633
06/05/2016|606.52|603.485356441
09/05/2016|603.85|610.096561143
10/05/2016|605.05|602.467773046
11/05/2016|614.06|605.54708945
12/05/2016|612.12|621.221683121
13/05/2016|610.82|611.921140206
16/05/2016|615.78|609.302387972
17/05/2016|624.75|618.886619294
18/05/2016|622.45|633.128379855
19/05/2016|619.2|621.424751635
20/05/2016|614.81|615.871490068
23/05/2016|611.03|610.566835554
24/05/2016|611.62|608.372221639
25/05/2016|611.89|611.894076023
26/05/2016|604.34|612.398983624
27/05/2016|608.11|598.746734245
30/05/2016|614.5|610.083190889
31/05/2016|618.44|619.903306358
01/06/2016|619.86|622.806145368
02/06/2016|623.37|620.579462762
03/06/2016|621.88|625.864821286
06/06/2016|620.05|621.007510076
07/06/2016|624.65|618.56045481
08/06/2016|627.87|627.809931819
09/06/2016|631.26|631.119754391
10/06/2016|629.84|634.233230922
13/06/2016|623.58|628.525003879
14/06/2016|625.43|618.650660453
15/06/2016|627.02|626.107104232
16/06/2016|625.11|628.740969584
17/06/2016|619.25|624.269727571
20/06/2016|626.46|614.234243951
21/06/2016|628.0|631.357829566
22/06/2016|626.41|630.096718323
23/06/2016|632.27|625.706619062
24/06/2016|620.77|635.65047785
27/06/2016|621.27|613.095581329
28/06/2016|622.2|620.78566843
29/06/2016|630.12|622.416615341
30/06/2016|632.26|637.416596286
01/07/2016|640.3|633.884558599
04/07/2016|647.96|646.415847871
05/07/2016|650.88|653.751934466
06/07/2016|649.46|653.859842625
07/07/2016|661.12|648.021224482
08/07/2016|658.68|669.332015131
11/07/2016|652.26|657.97671066
12/07/2016|658.9|647.623627486
13/07/2016|675.12|662.158612409
14/07/2016|666.69|688.289715762
15/07/2016|664.56|662.394994516
18/07/2016|673.5|661.425314975
19/07/2016|667.76|678.784660246
20/07/2016|660.26|665.954743736
21/07/2016|659.57|654.427094948
22/07/2016|649.87|657.800905514
25/07/2016|649.3|644.173778269
26/07/2016|648.59|648.493739717
27/07/2016|656.11|647.82567518
28/07/2016|657.14|662.007157557
29/07/2016|652.23|658.018141019
01/08/2016|648.38|648.934783814
02/08/2016|636.05|644.758558822
03/08/2016|631.61|627.799624026
04/08/2016|631.94|628.074100153
05/08/2016|627.39|631.891369927
08/08/2016|629.46|625.121539733
09/08/2016|637.34|630.211697528
10/08/2016|648.33|642.716072006
11/08/2016|660.24|657.026302211
12/08/2016|655.71|669.037047906
15/08/2016|659.47|653.026952982
16/08/2016|658.11|661.118272195
17/08/2016|660.51|657.149348385
18/08/2016|660.65|662.921638117
19/08/2016|662.28|660.438903942
22/08/2016|657.68|663.633448532
23/08/2016|659.16|654.543592935
24/08/2016|660.77|659.866497722
25/08/2016|658.5|661.881148515
26/08/2016|667.75|657.510818307
