today,tomorrow_reality,tomorrow_predict
700.35,700.04,699.272502878
700.04,701.91,699.74164654
701.91,702.04,703.766252265
702.04,700.65,702.174930297
700.65,703.78,699.281085639
703.78,705.9,706.870303643
705.9,706.26,708.001596699
706.26,711.57,706.608919549
711.57,709.35,716.863404126
709.35,707.83,707.138213472
707.83,710.59,706.32583029
710.59,716.55,713.302693102
716.55,717.24,722.444468784
717.24,716.87,717.918977367
716.87,714.47,716.499736216
714.47,717.44,712.093587739
717.44,710.79,720.380917616
710.79,709.52,704.256037114
709.52,707.51,708.242623334
707.51,712.62,705.52834281
712.62,716.29,717.667346411
716.29,716.54,719.912660602
716.54,716.6,716.770483322
716.6,715.8,716.659262085
715.8,712.21,715.015415037
712.21,710.17,708.680911615
710.17,714.71,708.161335363
714.71,713.14,719.231572388
713.14,714.92,711.560037901
714.92,710.54,716.683520799
710.54,715.07,706.230639665
715.07,716.18,719.559987139
716.18,712.94,717.286796706
712.94,719.56,709.772518266
719.56,722.14,726.063202112
722.14,723.52,724.701522207
723.52,719.26,724.878249065
719.26,720.47,715.061662643
720.47,723.86,721.684220557
723.86,722.31,727.20570241
722.31,722.38,720.783420748
722.38,724.14,722.440390199
724.14,723.22,725.867430036
723.22,727.95,722.304413725
727.95,729.87,732.627276665
729.87,731.33,731.743003991
731.33,725.58,732.764175254
725.58,724.35,719.924045174
724.35,718.45,723.154036161
718.45,710.83,712.656858048
710.83,714.93,703.356620476
714.93,716.77,718.908974055
716.77,712.66,718.584425094
712.66,712.41,708.637501285
712.41,709.39,712.170336068
709.39,707.58,706.40616068
707.58,710.04,705.799657371
710.04,716.53,712.450517118
716.53,717.73,722.901057498
717.73,719.54,718.934474077
719.54,722.02,721.316793256
722.02,720.0,724.459006002
720.0,718.86,717.995406501
718.86,722.11,717.740548143
722.11,724.31,725.29536417
724.31,724.99,726.472975764
724.99,725.37,725.651655161
725.37,725.35,725.741880553
725.35,725.03,725.332603424
725.03,727.2,724.715212066
727.2,726.99,729.340469217
726.99,733.82,726.780110941
733.82,744.1,740.529481728
744.1,740.93,754.17050402
740.93,742.74,737.785870858
742.74,741.91,744.530041535
741.91,743.41,741.09509279
743.41,746.25,744.861258096
746.25,738.21,749.011661565
738.21,737.82,730.374656487
737.82,741.8,737.404221709
741.8,738.81,745.666122495
738.81,743.49,735.934973561
743.49,751.31,748.013649571
751.31,753.46,758.901839845
753.46,750.13,755.565273662
750.13,749.72,746.92002136
749.72,751.09,749.330145848
751.09,756.89,752.42749416
756.89,760.77,762.526992511
760.77,760.57,764.535181322
760.57,761.24,760.39751013
761.24,766.83,761.889350092
766.83,767.99,772.243210278
767.99,767.41,769.095500308
767.41,766.3,766.843234789
766.3,769.01,765.231945488
769.01,772.52,771.604823074
772.52,767.51,775.903935297
767.51,769.04,762.646973839
769.04,771.75,770.493674681
771.75,776.47,774.365705864
776.47,778.88,781.021318049
778.88,775.54,781.20371946
775.54,778.32,772.321448176
778.32,782.65,781.020360469
782.65,775.73,786.811631846
775.73,766.56,769.052054513
766.56,769.36,757.75387779
769.36,774.17,772.007184342
774.17,778.3,778.784586619
778.3,777.6,782.264187002
777.6,768.91,776.907905571
768.91,767.49,760.608248839
767.49,771.3,766.089122173
771.3,768.41,774.938019992
