date,close_price,high_price,low_price
11/08/2009,494.20,494.70,490.50
12/08/2009,497.20,501.60,496.80
13/08/2009,503.60,506.60,502.00
14/08/2009,507.00,509.30,502.70
17/08/2009,500.10,508.50,500.10
18/08/2009,499.70,501.60,495.50
19/08/2009,508.50,508.50,503.40
20/08/2009,513.90,515.20,510.40
21/08/2009,519.20,530.50,519.20
24/08/2009,528.20,528.80,522.20
25/08/2009,528.90,532.90,527.10
26/08/2009,526.00,532.70,526.00
27/08/2009,527.00,529.70,523.20
28/08/2009,536.50,536.50,530.70
31/08/2009,546.80,547.40,541.90
01/09/2009,547.70,549.60,542.40
03/09/2009,540.80,548.40,539.50
04/09/2009,528.50,544.30,528.50
07/09/2009,524.50,528.20,513.50
08/09/2009,537.80,538.60,529.80
09/09/2009,536.10,542.00,536.10
10/09/2009,540.20,541.90,535.40
11/09/2009,548.00,549.60,547.80
14/09/2009,556.60,559.70,551.70
15/09/2009,556.80,562.20,553.30
16/09/2009,557.00,562.50,557.00
17/09/2009,561.20,564.20,553.20
18/09/2009,571.00,571.00,561.70
21/09/2009,578.00,581.00,578.00
22/09/2009,582.90,585.50,577.90
23/09/2009,582.10,594.30,582.10
24/09/2009,574.80,583.60,572.20
25/09/2009,582.80,582.80,574.10
28/09/2009,582.00,590.90,582.00
29/09/2009,582.60,587.90,581.20
30/09/2009,580.90,586.30,578.30
01/10/2009,569.00,581.80,569.00
02/10/2009,549.70,556.20,544.30
05/10/2009,549.00,556.60,543.20
06/10/2009,552.00,557.10,550.50
07/10/2009,566.40,569.60,560.20
08/10/2009,571.80,571.80,566.00
09/10/2009,582.00,582.50,575.40
12/10/2009,594.30,595.70,587.10
13/10/2009,589.90,597.40,589.50
14/10/2009,605.70,605.70,590.80
15/10/2009,617.40,626.10,612.00
16/10/2009,609.50,619.50,609.50
19/10/2009,607.10,612.00,605.80
20/10/2009,616.60,617.10,613.60
21/10/2009,618.50,622.30,614.70
22/10/2009,624.10,625.00,619.10
23/10/2009,615.20,633.20,615.70
26/10/2009,609.30,623.70,608.30
27/10/2009,596.80,602.60,590.70
28/10/2009,599.90,604.80,596.40
29/10/2009,581.50,585.60,575.70
30/10/2009,587.10,594.70,583.80
02/11/2009,561.70,565.90,560.00
03/11/2009,539.70,557.10,539.50
04/11/2009,537.50,550.30,533.20
05/11/2009,555.50,556.60,542.30
06/11/2009,554.90,569.70,554.90
09/11/2009,534.10,547.30,534.10
10/11/2009,524.40,535.70,520.00
11/11/2009,537.60,537.60,523.10
12/11/2009,546.00,550.80,540.60
13/11/2009,548.20,549.20,536.90
16/11/2009,545.70,554.50,545.70
17/11/2009,547.10,550.10,543.60
18/11/2009,553.80,553.80,544.00
19/11/2009,560.10,553.80,544.00
20/11/2009,555.80,562.30,554.20
23/11/2009,537.00,553.00,537.00
24/11/2009,527.10,538.80,526.90
25/11/2009,503.40,519.70,503.20
26/11/2009,482.60,495.60,479.40
27/11/2009,490.60,503.10,461.50
30/11/2009,504.10,506.70,494.10
01/12/2009,514.90,518.30,512.20
02/12/2009,499.10,514.80,499.10
03/12/2009,494.80,502.10,485.60
04/12/2009,495.00,500.00,493.40
07/12/2009,498.60,498.60,491.60
08/12/2009,488.50,496.00,485.60
09/12/2009,470.60,474.60,468.40
10/12/2009,458.70,474.60,458.70
11/12/2009,444.20,452.50,442.60
14/12/2009,458.40,460.80,447.90
15/12/2009,459.40,463.40,454.80
16/12/2009,442.10,452.20,440.20
17/12/2009,434.90,436.40,427.10
18/12/2009,443.30,449.60,440.90
21/12/2009,461.00,461.00,452.60
22/12/2009,465.20,470.90,462.90
23/12/2009,470.80,471.40,463.30
24/12/2009,479.10,479.10,464.40
25/12/2009,495.10,495.80,487.20
28/12/2009,492.60,499.00,485.80
29/12/2009,484.50,493.70,483.80
30/12/2009,495.40,495.40,483.10
31/12/2009,494.80,504.80,494.80
04/01/2010,517.10,517.10,501.70
05/01/2010,532.50,539.40,530.20
06/01/2010,534.50,538.80,526.40
07/01/2010,533.30,540.80,530.70
08/01/2010,520.90,544.50,520.90
11/01/2010,515.10,524.10,512.20
12/01/2010,498.30,516.80,498.30
13/01/2010,508.60,508.60,485.80
14/01/2010,512.30,517.70,509.30
15/01/2010,505.40,512.60,503.30
18/01/2010,487.10,499.20,487.10
19/01/2010,495.50,498.10,489.80
20/01/2010,489.50,499.20,489.50
21/01/2010,478.40,489.50,477.80
22/01/2010,477.60,481.70,471.90
25/01/2010,480.90,481.00,476.80
26/01/2010,497.90,497.90,490.10
27/01/2010,486.40,498.20,486.40
28/01/2010,481.80,487.80,481.50
29/01/2010,482.00,484.20,477.10
01/02/2010,487.00,487.00,481.80
02/02/2010,487.90,490.90,486.20
03/02/2010,495.50,495.90,490.10
04/02/2010,503.80,504.40,496.00
05/02/2010,493.00,501.10,491.10
08/02/2010,491.20,491.70,487.70
09/02/2010,482.90,488.80,482.40
10/02/2010,490.90,491.20,486.90
11/02/2010,499.90,500.00,491.90
12/02/2010,507.00,508.70,504.80
22/02/2010,510.00,513.20,507.90
23/02/2010,496.30,504.50,496.30
24/02/2010,494.60,494.90,490.20
25/02/2010,495.00,500.20,493.70
26/02/2010,496.90,496.90,492.00
01/03/2010,503.00,505.30,502.40
02/03/2010,501.00,505.60,500.10
03/03/2010,507.30,507.30,502.00
04/03/2010,511.90,516.80,510.90
05/03/2010,513.40,514.50,509.60
08/03/2010,521.10,522.80,517.00
09/03/2010,527.30,527.30,520.10
10/03/2010,525.70,529.60,522.80
11/03/2010,524.60,529.50,524.40
12/03/2010,531.50,531.50,526.70
15/03/2010,531.90,538.00,531.60
16/03/2010,516.10,529.60,516.10
17/03/2010,510.90,520.10,510.90
18/03/2010,519.70,519.70,510.50
19/03/2010,516.00,521.20,516.00
22/03/2010,511.60,517.80,511.60
23/03/2010,506.50,513.10,506.50
24/03/2010,512.10,512.90,508.80
25/03/2010,503.40,508.80,502.20
26/03/2010,505.30,506.40,501.60
29/03/2010,505.70,509.20,504.10
30/03/2010,500.70,506.30,500.70
31/03/2010,499.20,504.00,499.20
01/04/2010,508.20,508.90,500.00
02/04/2010,510.50,513.00,508.50
05/04/2010,514.80,516.30,513.50
06/04/2010,515.30,520.30,515.30
07/04/2010,515.80,517.30,512.50
08/04/2010,515.90,519.40,514.70
09/04/2010,517.40,519.60,516.40
12/04/2010,519.90,523.20,519.50
13/04/2010,518.00,523.10,518.00
14/04/2010,516.20,518.70,515.80
15/04/2010,521.50,521.50,518.40
16/04/2010,522.00,524.00,521.50
19/04/2010,516.70,521.70,516.70
20/04/2010,515.20,519.70,515.20
21/04/2010,519.70,520.20,517.50
22/04/2010,529.30,531.00,521.90
26/04/2010,531.20,535.40,531.20
27/04/2010,535.70,536.20,531.60
28/04/2010,539.20,539.80,536.10
29/04/2010,542.40,542.70,541.20
04/05/2010,549.10,550.60,544.50
05/05/2010,548.00,551.40,546.10
06/05/2010,549.50,551.40,547.00
07/05/2010,542.00,548.20,536.50
10/05/2010,534.40,541.50,532.40
11/05/2010,534.40,539.90,532.70
12/05/2010,519.60,527.50,519.60
13/05/2010,518.90,524.20,516.10
14/05/2010,520.70,523.50,520.00
17/05/2010,511.30,521.70,509.50
18/05/2010,508.30,510.80,505.10
19/05/2010,494.90,504.60,494.90
20/05/2010,503.60,503.60,481.70
21/05/2010,483.70,490.30,482.20
24/05/2010,486.20,489.60,479.60
25/05/2010,486.30,490.30,482.90
26/05/2010,492.70,492.70,488.30
27/05/2010,497.20,497.20,489.80
28/05/2010,513.00,513.30,506.40
31/05/2010,507.40,513.40,506.30
01/06/2010,508.70,509.10,503.70
02/06/2010,510.70,511.10,504.80
03/06/2010,511.20,516.20,511.20
04/06/2010,510.40,513.00,508.80
07/06/2010,496.90,502.20,495.00
08/06/2010,497.20,498.00,493.20
09/06/2010,497.60,502.50,497.20
10/06/2010,500.50,500.60,495.40
11/06/2010,504.30,506.80,504.30
14/06/2010,508.30,509.40,506.30
15/06/2010,508.00,510.20,506.50
16/06/2010,510.70,513.10,510.40
17/06/2010,510.80,511.20,508.40
18/06/2010,511.20,514.00,509.40
21/06/2010,514.80,515.80,514.00
22/06/2010,512.60,515.40,511.30
23/06/2010,512.80,514.40,508.80
24/06/2010,511.70,515.00,511.70
25/06/2010,505.10,509.60,505.10
28/06/2010,507.30,507.70,505.30
29/06/2010,510.70,511.40,509.50
30/06/2010,507.10,507.10,501.10
01/07/2010,504.00,506.60,503.70
02/07/2010,503.70,505.60,502.50
05/07/2010,506.50,507.10,504.50
06/07/2010,500.80,505.80,500.70
07/07/2010,496.90,503.80,496.90
08/07/2010,498.60,502.20,498.60
09/07/2010,499.50,501.10,499.00
12/07/2010,499.90,500.40,497.20
13/07/2010,509.10,509.90,502.60
14/07/2010,507.30,512.80,507.30
15/07/2010,505.20,507.60,505.00
16/07/2010,506.20,507.10,504.20
19/07/2010,506.80,506.80,503.20
20/07/2010,506.60,507.30,505.20
21/07/2010,505.40,507.30,505.40
22/07/2010,500.30,503.60,500.00
23/07/2010,500.30,502.90,499.70
26/07/2010,498.10,501.90,498.10
27/07/2010,497.70,501.90,497.70
28/07/2010,491.00,497.90,491.00
29/07/2010,491.10,492.90,488.90
30/07/2010,493.90,495.10,491.30
02/08/2010,491.60,495.30,491.30
03/08/2010,491.90,496.50,491.90
04/08/2010,486.70,490.30,484.70
05/08/2010,486.20,489.20,485.40
06/08/2010,482.80,485.20,482.40
09/08/2010,472.70,482.70,472.50
10/08/2010,461.70,469.30,458.20
11/08/2010,463.10,465.90,458.90
12/08/2010,448.40,458.60,448.30
13/08/2010,452.70,452.70,441.10
16/08/2010,464.80,464.80,456.90
17/08/2010,463.50,463.90,457.20
